                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2466,                  4.672,                 3.7229,                0.29591,                0.10181,                0.07822,                0.02714,                 3.0766,                 3.6095,                 2.7104,              0.0033258,              0.0033258,              0.0033258
                      2,                  2.513,                  2.406,                 2.0549,                0.62124,                0.43051,                0.48228,                0.22207,                 2.0498,                 2.7499,                 1.7643,              0.0065933,              0.0065933,              0.0065933
                      3,                  2.049,                 1.7694,                 1.6545,                0.74099,                0.54923,                0.63314,                0.30805,                 1.8105,                 1.5872,                 1.5679,              0.0097947,              0.0097947,              0.0097947
                      4,                 1.8904,                 1.5168,                 1.5219,                0.80927,                0.66786,                0.75496,                0.40431,                 1.6853,                 1.2668,                 1.4803,               0.009703,               0.009703,               0.009703
                      5,                 1.7609,                  1.325,                 1.4449,                0.84992,                0.68938,                0.78885,                0.43419,                 1.6241,                 1.1605,                 1.4236,               0.009703,               0.009703,               0.009703
                      6,                 1.7016,                 1.2338,                 1.4066,                0.85428,                0.70777,                0.80484,                0.44968,                  1.551,                 1.1158,                 1.3912,               0.009604,               0.009604,               0.009604
                      7,                 1.6424,                 1.1538,                 1.3708,                0.86497,                0.73906,                0.82675,                0.48486,                 1.5151,                 1.0193,                 1.3689,               0.009505,               0.009505,               0.009505
                      8,                 1.5968,                  1.085,                 1.3468,                0.86771,                0.74012,                0.82889,                0.48855,                 1.4803,                0.98624,                 1.3455,               0.009406,               0.009406,               0.009406
                      9,                 1.5794,                 1.0577,                 1.3348,                0.89189,                0.76253,                0.85616,                 0.5038,                 1.4799,                0.99413,                 1.3413,               0.009307,               0.009307,               0.009307
                     10,                  1.562,                 1.0305,                 1.3262,                0.89891,                0.78315,                0.87063,                0.52051,                 1.4675,                0.91856,                 1.3355,               0.009208,               0.009208,               0.009208
                     11,                 1.5283,                0.99525,                 1.3097,                0.89605,                0.77043,                0.86729,                0.52993,                 1.4184,                0.88909,                 1.3202,               0.009109,               0.009109,               0.009109
                     12,                 1.5207,                0.97392,                 1.3049,                0.88197,                0.78454,                0.86409,                0.51916,                  1.472,                0.87506,                  1.366,                0.00901,                0.00901,                0.00901
                     13,                 1.5021,                0.94747,                 1.2872,                0.89275,                0.79729,                0.87885,                0.53565,                 1.4195,                0.84723,                 1.3118,               0.008911,               0.008911,               0.008911
                     14,                 1.4753,                0.92071,                 1.2744,                0.89816,                0.79354,                0.87678,                0.53346,                 1.4222,                 0.8578,                 1.3197,               0.008812,               0.008812,               0.008812
                     15,                 1.4769,                0.91907,                 1.2812,                0.90188,                 0.7896,                0.87566,                 0.5424,                 1.4092,                0.85866,                 1.3088,               0.008713,               0.008713,               0.008713
                     16,                 1.4678,                0.89729,                 1.2795,                0.91015,                 0.8125,                 0.8962,                0.56116,                  1.376,                0.77671,                 1.2967,               0.008614,               0.008614,               0.008614
                     17,                 1.4488,                 0.8815,                   1.26,                0.91431,                0.81581,                0.89971,                 0.5638,                 1.3769,                0.78447,                 1.2887,               0.008515,               0.008515,               0.008515
                     18,                 1.4491,                0.87678,                 1.2637,                 0.9137,                0.82837,                 0.9045,                0.56954,                 1.3658,                0.76495,                 1.2886,               0.008416,               0.008416,               0.008416
                     19,                 1.4391,                0.87181,                 1.2632,                0.91293,                0.81397,                0.89777,                0.55958,                  1.365,                  0.777,                 1.2815,               0.008317,               0.008317,               0.008317
                     20,                 1.4277,                0.84978,                 1.2572,                0.90785,                0.83965,                 0.9103,                0.57867,                  1.347,                 0.7429,                 1.2674,               0.008218,               0.008218,               0.008218
                     21,                 1.4239,                0.84551,                 1.2506,                0.90023,                0.82971,                0.90746,                0.57109,                 1.3645,                0.75481,                   1.28,               0.008119,               0.008119,               0.008119
                     22,                 1.4132,                0.83431,                 1.2416,                0.90924,                0.83774,                0.91098,                 0.5757,                 1.3535,                0.73247,                 1.2753,                0.00802,                0.00802,                0.00802
                     23,                 1.4057,                0.82104,                 1.2379,                0.90208,                0.84176,                0.90902,                0.57182,                 1.3694,                0.73749,                 1.2907,               0.007921,               0.007921,               0.007921
                     24,                 1.4053,                0.81023,                 1.2377,                0.92355,                0.82904,                0.91039,                0.58096,                 1.3419,                0.72992,                 1.2715,               0.007822,               0.007822,               0.007822
                     25,                  1.381,                0.80086,                 1.2304,                0.91626,                 0.8318,                0.91385,                0.58198,                 1.3352,                0.70948,                 1.2638,               0.007723,               0.007723,               0.007723
                     26,                 1.3879,                0.79694,                 1.2271,                0.91972,                0.84604,                0.91757,                0.59063,                 1.3309,                0.70762,                   1.27,               0.007624,               0.007624,               0.007624
                     27,                 1.3835,                0.78642,                 1.2243,                0.90933,                0.84971,                0.91779,                0.59026,                 1.3272,                0.70393,                 1.2633,               0.007525,               0.007525,               0.007525
                     28,                 1.3613,                0.77056,                 1.2236,                0.92959,                0.83891,                0.91973,                0.58757,                 1.3336,                0.70245,                 1.2652,               0.007426,               0.007426,               0.007426
                     29,                 1.3711,                0.77375,                 1.2202,                0.92461,                0.84511,                0.91937,                0.58426,                 1.3337,                0.70947,                 1.2685,               0.007327,               0.007327,               0.007327
                     30,                 1.3601,                0.76358,                  1.217,                0.92306,                0.85382,                0.92164,                0.59044,                  1.333,                0.69608,                 1.2639,               0.007228,               0.007228,               0.007228
                     31,                 1.3666,                0.77113,                 1.2251,                0.92776,                0.84226,                0.91902,                0.58869,                 1.3281,                0.68719,                 1.2624,               0.007129,               0.007129,               0.007129
                     32,                 1.3559,                0.75368,                 1.2172,                 0.9319,                0.85014,                0.92213,                0.59435,                 1.3316,                0.67821,                 1.2669,                0.00703,                0.00703,                0.00703
                     33,                 1.3487,                0.74617,                 1.2121,                0.93169,                0.84159,                0.92486,                0.59625,                 1.3227,                0.67678,                 1.2561,               0.006931,               0.006931,               0.006931
